County,PublishAgency,PublishTime,SiteName,UVI,WGS84Lat,WGS84Lon
屏東縣,環境保護署,2018/7/11,屏東,8,"22,40,23.09","120,29,16.92"
高雄市,環境保護署,2018/7/11,橋頭,10,"22,45,27.02","120,18,20.48"
臺南市,環境保護署,2018/7/11,新營,8,"23,18,20.28","120,19,2.1"
嘉義縣,環境保護署,2018/7/11,朴子,6,"23,27,55.11","120,14,50.46"
嘉義縣,環境保護署,2018/7/11,塔塔加,5,"23,28,14.19","120,52,50.06"
嘉義縣,環境保護署,2018/7/11,阿里山,,"23,30,30.82","120,48,5.02"
雲林縣,環境保護署,2018/7/11,斗六,6,"23,42,42.67","120,32,41.98"
南投縣,環境保護署,2018/7/11,南投,4,"23,54,46.8","120,41,7.1"
彰化縣,環境保護署,2018/7/11,彰化,3,"24,3,57.6","120,32,29.47"
臺中市,環境保護署,2018/7/11,沙鹿,3,"24,13,32.26","120,34,7.66"
苗栗縣,環境保護署,2018/7/11,苗栗,3,"24,33,54.97","120,49,12.72"
桃園市,環境保護署,2018/7/11,桃園,4,"24,59,12.4","121,18,31.4"
新北市,環境保護署,2018/7/11,板橋,4,"25,0,46.7","121,27,31.2"
新北市,環境保護署,2018/7/11,淡水,4,"25,9,52.2","121,26,57.26"
花蓮縣,中央氣象局,2018/7/11,花蓮,9.66,"23,58,30","121,36,48"
連江縣,中央氣象局,2018/7/11,馬祖,0.42,"26,10,9","119,55,24"
高雄市,中央氣象局,2018/7/11,高雄,10.69,"22,33,58","120,18,57"
南投縣,中央氣象局,2018/7/11,玉山,7.58,"23,29,15","120,57,34"
臺南市,中央氣象局,2018/7/11,臺南,7.33,"22,59,36","120,12,17"
新竹縣,中央氣象局,2018/7/11,新竹,2.84,"24,49,40","121,0,51"
臺北市,中央氣象局,2018/7/11,鞍部,4.09,"25,10,57","121,31,47"
屏東縣,中央氣象局,2018/7/11,恆春,8.68,"22,0,14","120,44,47"
臺北市,中央氣象局,2018/7/11,臺北,4.19,"25,2,16","121,30,53"
臺東縣,中央氣象局,2018/7/11,成功,10.53,"23,5,51","121,22,24"
基隆市,中央氣象局,2018/7/11,基隆,1.11,"25,7,60","121,44,26"
桃園市,中央氣象局,2018/7/11,新屋,3.12,"25,0,24","121,2,51"
臺東縣,中央氣象局,2018/7/11,蘭嶼,7.96,"22,2,13","121,33,30"
臺東縣,中央氣象局,2018/7/11,臺東,10.03,"22,45,8","121,9,17"
南投縣,中央氣象局,2018/7/11,日月潭,5.09,"23,52,53","120,54,29"
金門縣,中央氣象局,2018/7/11,金門,2.29,"24,24,26","118,17,21"
宜蘭縣,中央氣象局,2018/7/11,宜蘭,2.9,"24,45,50","121,45,24"
澎湖縣,中央氣象局,2018/7/11,澎湖,5.86,"23,33,56","119,33,47"
臺中市,中央氣象局,2018/7/11,臺中,1.84,"24,8,45","120,41,3"
嘉義市,中央氣象局,2018/7/11,嘉義,6.27,"23,29,45","120,25,58"
